-1446	-1470	-1374	-1410	-300	-510	0	54133700	22884091
-1708	1098	-1784	1196	-616	932	0	54133464	22884099
1180	1672	974	1580	318	456	0	54133661	22884089
1844	-738	1728	-1018	890	-538	0	54133401	22884097
-655	-1695	-643	-1787	-7	-793	0	54133625	22884094
-2171	781	-1687	745	-701	181	0	54133354	22884089
1022	1790	634	1830	204	472	0	54133560	22884086
1848	-574	1504	-482	644	308	0	54133302	22884090
276	-2234	468	-2424	-16	-1100	0	54133119	22884093
-2110	-652	-1800	-490	-438	-498	0	54133319	22884086
-1232	1874	-952	1996	-530	966	0	54133084	22884092
2147	1197	2085	451	829	-147	0	54133242	22884087
1545	-1197	1107	-991	95	-347	0	54133081	22884080
-918	-1451	-1124	-1629	-194	-721	0	54133291	22884089
-1861	836	-1407	534	-741	478	0	54133070	22884089
326	2375	518	2269	-88	833	0	54133286	22884086
1979	58	1749	-10	845	-6	0	54133062	22884088
158	-2315	246	-2133	154	-773	0	54132814	22884085
-2363	-836	-1867	-500	-453	68	0	54133026	22884127
-838	2215	-826	1723	-878	463	0	54132792	22884089
1472	1685	1698	1281	554	201	0	54133015	22884083
2374	-657	2346	-375	976	-53	0	54132879	22884087
117	2322	155	2062	267	692	0	54133157	22884084
2137	316	2053	-244	687	-280	0	54132891	22884084
266	-2475	368	-2125	438	-619	0	54132672	22884082
-1843	-1128	-1395	-1190	-759	-516	0	54132952	22884086
-1522	1820	-1386	1628	-618	364	0	54132687	22884081
1132	2144	750	1894	642	1044	0	54132958	22884087
2424	-274	2104	-454	270	-488	0	54132724	22884076
9	-2029	-67	-1379	195	-373	0	54132944	22884075
-1592	-1208	-2090	-1142	-1250	-390	0	54132779	22884090
-739	1507	-691	1257	-485	149	0	54132514	22884079
1509	2035	1599	1987	531	607	0	54132766	22884079
2108	-752	1374	-1106	360	-304	0	54132502	22884074
417	-1947	825	-1617	197	-451	0	54132430	22884075
-2125	-1149	-2415	-701	-881	-305	0	54132594	22884080
